name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
MED | TROP CHERRY PUNCH,,1 oz,28.0,80.0,80.0,Flower,False
MED | CRESCENDO #11,,1 g,1.0,10.0,280.0,Flower,False
MED | CRESCENDO #11,,1/8 oz,3.5,25.0,200.0,Flower,False
MED | CRESCENDO #11,,1/4 oz,7.0,40.0,160.0,Flower,False
MED | CRESCENDO #11,,1/2 oz,14.0,55.0,110.0,Flower,False
MED | CRESCENDO #11,,1 oz,28.0,100.0,100.0,Flower,False
MED | DIABLE DOUX,,1 g,1.0,10.0,280.0,Flower,False
MED | DIABLE DOUX,,1/8 oz,3.5,25.0,200.0,Flower,False
MED | DIABLE DOUX,,1/4 oz,7.0,40.0,160.0,Flower,False
MED | DIABLE DOUX,,1/2 oz,14.0,55.0,110.0,Flower,False
MED | DIABLE DOUX,,1 oz,28.0,100.0,100.0,Flower,False
MED | FROSTED GELATO,,1 g,1.0,10.0,280.0,Flower,False
MED | FROSTED GELATO,,1/8 oz,3.5,25.0,200.0,Flower,False
MED | FROSTED GELATO,,1/4 oz,7.0,40.0,160.0,Flower,False
MED | FROSTED GELATO,,1/2 oz,14.0,55.0,110.0,Flower,False
MED | FROSTED GELATO,,1 oz,28.0,100.0,100.0,Flower,False
MED | HONEYMOON CRASHER,,1 g,1.0,10.0,280.0,Flower,False
MED | HONEYMOON CRASHER,,1/8 oz,3.5,25.0,200.0,Flower,False
MED | HONEYMOON CRASHER,,1/4 oz,7.0,40.0,160.0,Flower,False
MED | HONEYMOON CRASHER,,1/2 oz,14.0,55.0,110.0,Flower,False
MED | HONEYMOON CRASHER,,1 oz,28.0,100.0,100.0,Flower,False
MED | TRUFFLE RUNTZ,,1 g,1.0,10.0,280.0,Flower,False
MED | TRUFFLE RUNTZ,,1/8 oz,3.5,25.0,200.0,Flower,False
MED | TRUFFLE RUNTZ,,1/4 oz,7.0,40.0,160.0,Flower,False
MED | TRUFFLE RUNTZ,,1/2 oz,14.0,55.0,110.0,Flower,False
MED | TRUFFLE RUNTZ,,1 oz,28.0,100.0,100.0,Flower,False
MED | ZOUR WARHEADZ,,1 g,1.0,10.0,280.0,Flower,False
MED | ZOUR WARHEADZ,,1/8 oz,3.5,25.0,200.0,Flower,False
MED | ZOUR WARHEADZ,,1/4 oz,7.0,40.0,160.0,Flower,False
MED | ZOUR WARHEADZ,,1/2 oz,14.0,55.0,110.0,Flower,False
MED | ZOUR WARHEADZ,,1 oz,28.0,100.0,100.0,Flower,False
