name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Skyscraper by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
Skyscraper by Greenfields Special Bulk,,1 oz,28.0,60.19,60.19,Flower,False
Sour Spritzer by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
Sour Spritzer by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
Sour Spritzer by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
Sour Spritzer by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
Sour Spritzer by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
Sour Spritzer by Greenfields Special Bulk,,1 oz,28.0,60.19,60.19,Flower,False
Speakeasy by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
Speakeasy by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
Speakeasy by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
Speakeasy by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
Speakeasy by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
Speakeasy by Greenfields Special Bulk,,1 oz,28.0,60.19,60.19,Flower,False
Spearmint Style by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
Spearmint Style by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
Spearmint Style by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
Spearmint Style by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
Spearmint Style by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
Spearmint Style by Greenfields Special Bulk,,1 oz,28.0,60.19,60.19,Flower,False
Sub Zero by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
Sub Zero by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
Sub Zero by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
Sub Zero by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
Sub Zero by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
Sub Zero by Greenfields Special Bulk,,1 oz,28.0,60.19,60.19,Flower,False
Super Lemon Haze by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
Super Lemon Haze by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
Super Lemon Haze by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
Super Lemon Haze by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
Super Lemon Haze by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
Super Lemon Haze by Greenfields Special Bulk,,1 oz,28.0,60.19,60.19,Flower,False
Z by Greenfields Special Bulk,,1 g,1.0,5.02,140.56,Flower,False
Z by Greenfields Special Bulk,,2 g,2.0,10.03,140.42,Flower,False
Z by Greenfields Special Bulk,,1/8 oz,3.5,13.04,104.32,Flower,False
Z by Greenfields Special Bulk,,1/4 oz,7.0,20.06,80.24,Flower,False
Z by Greenfields Special Bulk,,1/2 oz,14.0,40.12,80.24,Flower,False
Z by Greenfields Special Bulk,,1 oz,28.0,60.19,60.19,Flower,False
A1 Stank Sauce by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
A1 Stank Sauce by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
A1 Stank Sauce by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
A1 Stank Sauce by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
A1 Stank Sauce by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
A1 Stank Sauce by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Biscotti Pie by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Biscotti Pie by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Biscotti Pie by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Biscotti Pie by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Biscotti Pie by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Biscotti Pie by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Cap Junky by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Cap Junky by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Cap Junky by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Cap Junky by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Cap Junky by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Cap Junky by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Dank Dough by Cherry Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Dank Dough by Cherry Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Dank Dough by Cherry Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Dank Dough by Cherry Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Dank Dough by Cherry Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Dank Dough by Cherry Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
DK Stomper by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
DK Stomper by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
DK Stomper by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
DK Stomper by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
DK Stomper by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
DK Stomper by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
GMO Crasher by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
GMO Crasher by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
GMO Crasher by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
GMO Crasher by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
GMO Crasher by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
GMO Crasher by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Jungle Runtz by Cherry Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Jungle Runtz by Cherry Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Jungle Runtz by Cherry Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Jungle Runtz by Cherry Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
LA Haze by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
LA Haze by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
LA Haze by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
LA Haze by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
LA Haze by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
LA Haze by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Lemon Freeze by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Lemon Freeze by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Lemon Freeze by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Lemon Freeze by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Lemon Freeze by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Lemon Freeze by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Oh Shit by Cherry Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Oh Shit by Cherry Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Oh Shit by Cherry Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Oh Shit by Cherry Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Oh Shit by Cherry Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Oh Shit by Cherry Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Quatro Kush by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Quatro Kush by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Quatro Kush by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Quatro Kush by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Quatro Kush by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Quatro Kush by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Rainbow Sherbert #11 by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Rainbow Sherbert #11 by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Rainbow Sherbert #11 by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Rainbow Sherbert #11 by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Rainbow Sherbert #11 by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Rainbow Sherbert #11 by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Runtz by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Runtz by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Runtz by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Runtz by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Runtz by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Runtz by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Sour Spritzer by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Sour Spritzer by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Sour Spritzer by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Sour Spritzer by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Sour Spritzer by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Sour Spritzer by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Speakeasy by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Speakeasy by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Speakeasy by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Speakeasy by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Speakeasy by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Speakeasy by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Strawnana by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Strawnana by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Strawnana by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Strawnana by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Strawnana by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Strawnana by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Sub Zero by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Sub Zero by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Sub Zero by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Sub Zero by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Sub Zero by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Sub Zero by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Super Lemon Haze by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Super Lemon Haze by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Super Lemon Haze by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Super Lemon Haze by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Super Lemon Haze by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Super Lemon Haze by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
Z by Greenfields Econo Bulk,,1 g,1.0,6.02,168.56,Flower,False
Z by Greenfields Econo Bulk,,2 g,2.0,12.04,168.56,Flower,False
Z by Greenfields Econo Bulk,,1/8 oz,3.5,15.05,120.39999999999999,Flower,False
Z by Greenfields Econo Bulk,,1/4 oz,7.0,25.08,100.32,Flower,False
Z by Greenfields Econo Bulk,,1/2 oz,14.0,45.14,90.28,Flower,False
Z by Greenfields Econo Bulk,,1 oz,28.0,80.25,80.25,Flower,False
A1 Stank Sauce by Greenfields Topshelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
A1 Stank Sauce by Greenfields Topshelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
A1 Stank Sauce by Greenfields Topshelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
A1 Stank Sauce by Greenfields Topshelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
A1 Stank Sauce by Greenfields Topshelf Bulk,,1/2 oz,14.0,55.17,110.34,Flower,False
A1 Stank Sauce by Greenfields Topshelf Bulk,,1 oz,28.0,100.31,100.31,Flower,False
B27 by Cherry Topshelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
B27 by Cherry Topshelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
B27 by Cherry Topshelf Bulk,,1/8 oz,3.5,18.06,144.48,Flower,False
B27 by Cherry Topshelf Bulk,,1/4 oz,7.0,30.09,120.36000000000001,Flower,False
Bernie Hanna Butter by Cherry Topshelf Bulk,,1 g,1.0,7.02,196.56,Flower,False
Bernie Hanna Butter by Cherry Topshelf Bulk,,2 g,2.0,14.04,196.56,Flower,False
